t,cost
174.35768274900002,17116.207480622357
174.555653726,17116.207480622357
174.776365144,17117.62592783756
174.951326998,17118.68353680036
175.17003838300002,17118.68353680036
175.35321013,17119.663915114597
175.544170016,17120.092063229342
175.758228941,17120.295837533897
175.949116844,17121.270551071037
176.159327087,17121.553327500627
176.36366574800002,17121.680524225118
176.561739316,17122.099921058383
176.753659325,17122.182517366826
176.952975,17122.33725579912
177.17776151500001,17122.64667186269
177.36204307,17122.66738425933
177.55810020700002,17122.689491567435
177.75464499600002,17122.660890361247
177.969545004,17122.660890361247
178.15611452800002,17122.481980452016
178.352887138,17122.2519639167
178.55627085400002,17122.2519639167
178.751338839,17121.977733336713
178.95255272600002,17121.717227702262
179.167388109,17121.717227702262
179.355376134,17121.43265210822
179.55329117000002,17121.246623850184
179.740562089,17121.072941331484
179.966695399,17120.557337715065
180.152689602,17120.557337715065
180.341705563,17120.16247552543
180.55272250200002,17119.757127083172
180.76374800000002,17119.757127083172
180.945491983,17119.160912645973
181.14119106200002,17118.79473202174
181.361376697,17118.79473202174
181.562488744,17118.30768817592
181.77125148800002,17118.058367655896
181.94207847700002,17117.848016795448
182.14491175900002,17117.27002559514
182.353894803,17117.27002559514
182.55398513900002,17116.77734865612
182.755897244,17116.456120718092
182.96631918100002,17116.456120718092
183.14807711,17116.024975935397
183.35292694400002,17115.419500015603
183.544837696,17115.419500015603
183.77181773400002,17114.884227034578
183.94709482300001,17114.884227034578
184.14729906600002,17114.273706646225
184.34272587700002,17113.551272381108
184.549504492,17113.551272381108
184.767441133,17112.78796720866
184.962696485,17111.997674986847
185.147974745,17111.997674986847
185.35969804700002,17110.981326304718
185.54527200500002,17110.170928333755
185.76964768300002,17110.170928333755
185.950259764,17109.309845166496
186.15410601300002,17108.85300957405
186.35595771200002,17108.186701347116
186.545061616,17107.454358504518
186.75430072400002,17107.454358504518
186.94457784000002,17106.42253204163
187.155207947,17105.032717359856
187.34675366500002,17105.032717359856
187.54334706,17104.12261724217
187.742844119,17102.867739640624
187.952668843,17102.867739640624
188.143488953,17101.591311036904
188.35287567900002,17100.013478098263
188.552568255,17100.013478098263
188.75339716000002,17098.7937995657
188.97018874300002,17097.882966348912
189.14341739600002,17097.882966348912
189.356465847,17096.64753180043
189.547543671,17095.1770139472
189.74561054600002,17095.1770139472
189.957890843,17094.01517909708
190.16504281200002,17092.88435962544
190.37869813,17092.88435962544
190.551192367,17091.499307343314
190.755615263,17091.499307343314
190.960868177,17090.71891164945
191.162233487,17089.692806199542
191.36659509600003,17089.692806199542
191.55423505000002,17088.451541254442
191.759322445,17088.451541254442
191.940374504,17087.518991130193
192.145865756,17086.631108338264
